name	seq	orig_seq	full_text	raga	comments
** Scratch Pad **	<no single raga>	m p d p mg r s r mg r m m p ,S,Pm P nD,n P m,Gm R,,G S GRGR m,Gm R m m,Gm P ,S+ N-	"**LATEST UPDATE**: This *used to be* a scratch pad that anyone can edit. However,
with the [latest site update][lsu], only a document's creator may edit it. However, you can
make a ""Copy"" of the scratch pad for yourself and edit away. Just don't publish it, that's all :)
[lsu]: http://blog.patantara.com/blog/2014/07/28/creating-slash-editing-notations-on-patantara-is-now-open-to-all/
**NOTE**: This is a general scratch pad for people to try out the Carnot Wiki.
Documents are saved automatically and there is no ""save"" button you have to click.
At the moment, you do need a live internet connection.
> This is great! Give us another one. You should turn professional.
> -- Rowan Atkinson
""Nāsikā:bhūṣaṇi""
# Notation example
tala pattern = || ,, ,, ,, | ,, ,, | ,, ,, ||
aksharas per line = 14
notation font size = 12
notation small font size=12
stretch = 2
stretch space = 0.6
substitutions = d/d2 g/g3 r/r2 g/g2
aksharas = 14
m p d p mg r s r mg r m m p ,
ga ṇa rā _ jē _ na ra _ kshi tō _ ham _
S,Pm P nD,n P m,Gm R,,G S GRGR m,Gm R m m,Gm P ,
aksharas = 1
S+ N-"		small
2. Varṇam	s'sNd'sNdmgmmgss.N.d.NsrgmmgmdN's'r'NdNNdmgmpgrssrs.N.d.Ns.d.NsrgmdN's'rN'sNddNdmmgs.NsrgmdNdgmdN's'sN's'r'g'm'g'm'g'sN'r'sNdN'sNdmgmNdmgmdN'sNdNdmmgmgs.N.d.d.NssmgmdN's'r'g'm'g'm'g'sN'r'sN'sNNddmgsrgmdNmgmdNdmNdN's'sNdmmgsrgmgs.Nrs.N.d.Ns.d.Nsrgmmgmgs.Nss.N.d.NsrggmdN'sNdmgs.NsrgdNdmdgdmgmgs.Ns.d.N.d.NsrgmdmgmddN's'r'sNdmdNdNdmgmdNdmgs.N.d.Nsrg's'r's'sNdmgmgsrgmdN's'sNdNNdmmmgsmgdmNd'sNdmgsgmNdN's'r'g'm'g'sN'r'sNdN'sNdmgmpgrs.Nrs.N.d.NsrgmgmdmdNdN's'r'g'm'm'g'sNdmgs.N.d.Nsrg	s+ ,  , s+        N D s+ N        D M G M        M G S ,        S , N- D-        N- S R G        M , , M        G M D NS+ , R+ N+        , D N N        D M G M        P G R S S R S N-        D-  N- S ,        D- N- S R        G M D NS+ , R+ N        S+ N D ,        D N D M , M G S        N- S R G        M D N D        G M D N        S+ , , ,S+ N S+ R+        G+ M+ G+ M+        G+ S+ N R+        S+ N D N        S+ N , D        M G M ,        N D M G , M D NS+ , , N        D , N D        M , , M        G , M G S , , N-        D- , D- N-         S , S M        G M D NS+ R+ G+ M+ , G+ M+ G+        S+  , N R+ S+ N S+ N         , N D ,        D M  , G S , R G        , M D NM , G , M , , D , , N D M N D N S+ , , , , S+ , N D M , M G S R GM , , G , , S , , , N- , R , S , N- , , D- , , N- , , S , D- N- S R GM , M G M G S N- S , S N- D- N- S R G , G M D N S+ N D M G S N- S R GD , N D M D G D M , G M G S N- S D- , N- D- N- S R G M , D M G M D  ,D N S+ R+ S+ , N D M D N , D N D M G M D , N D M G S N- D- N- S , R GS+ , , , , , , R+ S+ S+ N D M G M G S , , , , , , R , G , M , D , NS+ S+ N D , N N D M , M M G S , M G D M N D S+ N D M G S G M N D NS+ R+ G+ M+ G+ S+ N R+ S+ N D N S+ N D M G M P G R S N- R S N- D- N- S R G M, G M D , M D N , D N S+ , R+ G+ M+ , M+ G+ S+ N D M G S N- D- N- , S R G	"# 2. Varṇam
##""Svāmi nān unṛan aḍimai""
*Rāgam:* Nāṭṭakuriñji
*Tālam:* Ādi
*Compōser:* Pāpanāsa sivan
## Lyrics
*Pallavi:*  Svāmi nān unṛan aḍimai enṛu ulagamellām aṛiyumē
tāmadam seyyādu vandaruḷ mādōr paṅgā būdēsā
*Anupallavi:*  nāmāmr̥da pānamē en jīvanamē enṛu nambinēnē
naṭanamāḍum sēvaḍi darisanamenru kiḍaikkumenavē ēṅginēnē
*Muktāyi svara:* ceñjaḍā ḍaviyil iḷampirai deiva kaṅgaiyum ōraravumāḍa
iḷanagai  tavazuñ sevvidazuḍan tadīm ena ciṭrambaḷan tanilāḍum
*Caraṇa:* naṭarājā dēvā saccidā ānanda
*Caraṇa svara sāhitya 1:* āḍum nin azagil kādal koṇḍa ivaḷaippār
*Caraṇa svara sāhitya 2:* nandi bṛṅgi siva ghaṇam munivaṛgalum indiran mudalamara kōṭikaḷ paṇiyum
*Caraṇa svara sāhitya 3:* puṇnakait tavaz idazin azagaiyum kadaik kaṇnazakaiyum kaṇdāl mazuppaḍaiyai
ceñjaḍaiyai tōluḍaiyai madakaja naḍaiyai ninaindurugum ivaḷai āṇḍarul
*Caraṇa svara sāhitya 4:* nī varantara uḍan virainḍ va meiyanbu koṇḍu ninaindu nāḷ muzudum tan ninaivilāḷ kaṇ uraṅgilaḷ uṇavar̥ndilaḷ
tiruppeyarai sollisollipulambuvaḷ tanimaitanilē kalakalavena nakaittiḍumivaḷin viragam taṇiya aruḷ nī puriyāviḍilē mōsam varum pāsamuḍan vantaruḷ
## Pallavi
tala pattern =  | ,,,, ,,,, ,,,, ,,,, | ,,,, ,,,, | ,,,, ,,,, ||
aksharas per line = 32
s+ ,  , s+        N D s+ N        D M G M        M G S ,        S , N- D-        N- S R G        M , , M        G M D N
Svā _ _ mi - -  nā - - nun _  ṛan a ḍi  mai _ en _  ṛu u la ga mel _ lām _ - a ṛi yu mē -
S+ , R+ N+        , D N N        D M G M        P G R S S R S N-        D-  N- S ,        D- N- S R        G M D N
tā _ ma dam _ sey - yā - du van _ - - da ruḷ mā - dō r pa ṅ gā - bū - - dē - - sā -
## AnuPallavi
tala pattern =  | ,,,, ,,,, ,,,, ,,,, | ,,,, ,,,, | ,,,, ,,,, ||
aksharas per line = 32
S+ , R+ N        S+ N D ,        D N D M , M G S        N- S R G        M D N D        G M D N        S+ , , ,
nā _ - mā - mr̥ da - pā - na mē _ en - -  jī - va na mē - en ṛu nam - bi nē nē - _ -
S+ N S+ R+        G+ M+ G+ M+        G+ S+ N R+        S+ N D N        S+ N , D        M G M ,        N D M G , M D N
na ṭa na mā - ḍum  sē -  va ḍi da ri sa na men ru ki ḍai _ kku me na vē - ē ṅ gi nē - nē - -
##Muktāyi svara
tala pattern =  | ,,,, ,,,, ,,,, ,,,, | ,,,, ,,,, | ,,,, ,,,, ||
aksharas per line = 32
S+ , , N        D , N D        M , , M        G , M G S , , N-        D- , D- N-         S , S M        G M D N
ceñ _ - ja ḍā _ ḍa vi  yil _ - i ḷam  _ pi rai dei _ - va ka ṅ gai yu mōr _ a ra vu mā - ḍa
S+ R+ G+ M+ , G+ M+ G+        S+  , N R+ S+ N S+ N         , N D ,        D M  , G S , R G        , M D N
iḷa _ na gai _  ta va zuñ sev _ vi da zu ḍan ta dīm - e na - ciṭ ram - ba ḷan _ ta ni - lā - ḍum
####
## Caraṇa
tala pattern =  | ,,,, ,,,, ,,,, ,,,, | ,,,, ,,,, | ,,,, ,,,, ||
aksharas per line = 32
M , G , M , , D , , N D M N D N S+ , , , , S+ , N D M , M G S R G
na - ṭa _ rā - - jā - - - -  dē - - - vā - - - -  sa c ci dā - -  ā - nan - da
## Caraṇa svara sāhitya 1
tala pattern =  | ,,,, ,,,, ,,,, ,,,, | ,,,, ,,,, | ,,,, ,,,, ||
aksharas per line = 32
M , , G , , S , , , N- , R , S , N- , , D- , , N- , , S , D- N- S R G
ā - - ḍu m - ni n - - a _ za _ gi l kā _ - dal - - koṇ  _ - ḍa - i va ḷaip pār _
## Caraṇa svara sāhitya 2
tala pattern =  | ,,,, ,,,, ,,,, ,,,, | ,,,, ,,,, | ,,,, ,,,, ||
aksharas per line = 32
M , M G M G S N- S , S N- D- N- S R G , G M D N S+ N D M G S N- S R G
nan _ di bṛ ṅ  gi si va gha ṇam _ mu ni vaṛ ga lum  in _ di ran mu da la  ma ra kō _ ṭi kaḷ   pa ṇi yum
## Caraṇa svara sāhitya 3
tala pattern =  | ,,,, ,,,, ,,,, ,,,, | ,,,, ,,,, | ,,,, ,,,, ||
aksharas per line = 32
D , N D M D G D M , G M G S N- S D- , N- D- N- S R G M , D M G M D  ,
puṇ _ na kait  ta vaz i da zin _ aza gai _ yum ka daik kaṇ _ ṇa za kai yum  kaṇ _ dāl _ ma zhup  pa ṭai  yai _
D N S+ R+ S+ , N D M D N , D N D M G M D , N D M G S N- D- N- S , R G
ceñ _ ja ḍai yai tō - _ lu ḍai yai  _  ma da ka ja  na ḍai  yai _  ni nain du ru gum i va ḷai  āṇ ḍa rul _
## Caraṇa svara sāhitya 4
tala pattern =  | ,,,, ,,,, ,,,, ,,,, | ,,,, ,,,, | ,,,, ,,,, ||
aksharas per line = 32
S+ , , , , , , R+ S+ S+ N D M G M G S , , , , , , R , G , M , D , N
nī _ - _ - _ - va ran tara   u ḍan  vi rai  nḍ _ va - _ - _ - - mei - yan _ bu -   ko _ ṇḍu
S+ S+ N D , N N D M , M M G S , M G D M N D S+ N D M G S G M N D N
ni nain du nāḷ _ mu zu dum  tan _ ni nai  vi lāḷ _ ka ṇ  u raṅ gi laḷ u ṇa va r̥n di laḷ   ti rup pe ya rai
S+ R+ G+ M+ G+ S+ N R+ S+ N D N S+ N D M G M P G R S N- R S N- D- N- S R G M
sol li _ sol li _ pu lam bu vaḷ ta ni mai ta ni lē  ka la ka la ve na na kait ti ḍu mi va ḷin vi ra gam
, G M D , M D N , D N S+ , R+ G+ M+ , M+ G+ S+ N D M G S N- D- N- , S R G
- ta ṇi ya - a ruḷ  nī _ pu ri yā _ vi ḍi lē - mō _ sa m  varum pā - sa mu ḍan van _ ta ruḷ -"	natakuranji	
21st hindolam	.NsGGmmmmmmGmDN's's's's's's'G's'sNNDmGss.NsmmGDmGs	n- , , , s , , , g , , , g , m , , , m , m , m , m , m ,g , , , m , , , d , , , n , s+ , , , s+ , s+ , s+ , s+ , s+ ,g+ , , , s+ , , , s+ , , , n , n , , , d , m , g , s , s ,n- , s , m , , , , , , , m , g , d , m , g , , , s , , ,	"#Tiruppugaḻ : kāvippuvai
#Rāga : Hindōḷam
#Tāḷa  : Khaṇḍa Rūpakam
---
##Kāvip pūvai yēvai yikalavaṉa
##nīlath thāla kāla nikarvaṉa
##kāthip pōka mōka maruḷvaṉa  -  iruthōṭār
</br>
##Kāthiṟ kāthi mōthi yuḻalkaṇa
##māyath thārkaḷ thēka parisaṉa
##kāmak rōtha lōpa mathamivai - sithaiyātha
</br>
##Pāvik kāyu vāyu valamvara
##lālip pārkaḷ pōtha karumavu
##pāyath thāṉa ñāṉa neṛithaṉai - yiṉimēlaṉ
</br>
##Pālek kāka yōka jepathapa
##nēsith thāra vāra paripura
##pāthath thāḷu māṟu thiruvuḷa - niṉaiyāthō
</br>
##Kūvik kōḻi vāḻi yeṉamayi
##lālith thāla kāla meṉavuyar
##kūḷic chēṉai vāṉa misaithaṉil - viḷaiyāḍak
</br>
##Kōrath thīra cūra ṉuḍaiviṉai
##pāṟac chīṟa lēṉa pathithaṉai
##kōlak kāla māka amarceytha - vaḍivēlā
</br>
##Āvic chēlkaḷ pūka maḍaliḷa
##pāḷaith thāṟu kūṟu paḍavuya
##rālaic chōlai mēlai vayaliyi - luṟaivōṉē
</br>
##Āsaith thōkai mārka ḷisaiyuḍa
##ṉāḍip pāḍi nāḍi varuthiru
##āṉaik kāvil mēvi yaruḷiya - perumāḷē
</br>
tala pattern=|| , , , , , , , , | , , , , , , , , , , , , , , , , , , , , ||
aksharas per line=28
stretch=.5
n- , , , s , , , g , , , g , m , , , m , m , m , m , m ,
Kā _ _ _ vip _ _ _ pū _ _ _ vai _ yē _ _ _ vai _ yi _ kal _ va _ ṉa
g , , , m , , , d , , , n , s+ , , , s+ , s+ , s+ , s+ , s+ ,
nī _ _ _ lath _ _ _ thā _ _ _ la _ kā _ _ _  la _ ni _ kar _ va _ ṉa _
g+ , , , s+ , , , s+ , , , n , n , , , d , m , g , s , s ,
kā _ _ _ thip _ _ _ pō _ _ _ ka _ mō _ _ _ ka _ ma _ ruḷ _ va _ ṉa _
n- , s , m , , , , , , , m , g , d , m , g , , , s , , ,
i _ ru _ thō _ _ _ _ _ _ _ ṭār _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
</br>
##The remaining caraṇa-s will follow the same notation as the above."	hindola	
