name	raga	seq
adhivOalladhivO - madhyamAvathi - Adi - annamAchArya	madhyamavathi	s's's's'r'm'r's'sN'sNpN'spN's's'rN'r'sNpmppNN's'sN's'r'm'rppppmNpmrsrmpmpNpmrsrmpNpNNNNN'r'sNppNmppN's'r's'r's'r'r'r's'r'sNN's's'r'r's's'r'sNNNN'sNppmppNN's'sN's'r'm'rrmmppmpNpmrsrmmpmpNpmrsrmmmmrmpppprmpN'sNpN's'r'r'r's'r'r'r'r's'r'sNN's's'r'r's's'r'sNNNN'sNppmppNN's'sN's'r'm'rrmppmpNpmrrsrmpmpNpmrsrmpNNNNNNNN'r'sNppNmppN's'r'r's'r'r'r's'r'sNN's's'r'rp's's'r's'sNNN'sNppmppNN's'sN's'r'm'r
Adidhano rangA - Arabhi - Adi - Purandaradasa	arabhi	sndndppdpmgrsrmgrddppmpd'r'sndppdpmgrsrmgrddppmpd's'r's'sndndppdpmgrsssrrrpmgrss'r's'rd'sd'spdmdpmgrsssrrrpmgrsppmgrmpdpmpdd's'sd's'sdpdpmgrsrmpdpmpdd's'sd's'rdd's's'r's'r'r'p'm'g'r's'r's'sndpdpmgrmpdddddpppmpdppdpmgrrrppppdpmgrss.n.drsmgrrmgrmpddd'sd'r'sndpppmpdppdpmgrrpmpppdppmgrsrrpmppppmpdpd'snd's's'sdmppd's'r's's'r'r'r'r'r'm'g'r'r'r's'r'sndddd'r'sndpppmgrmpdddddpppmpdppdpmgrrrppppdpmgrss.n.drsmgrrmgrmppdddd'sd'r'sndpppmpdppdpmgrsrrpmpppdppmgrsrpmpppppmpddpd'snd's's'sdmppdd's'rr's's'r'r'r'r'm'g'r'r'r'r's'r'sndddd'r'snddppmgrmpd
AdikondAr - mAyAmALavagowlam - Adi - muthuthAndavar	mayamalavagowla	s'snDpmgmpDnDpmgpmgRs's'R's'R'snDmpDpmgmgmpDnDpmgpmgRgR'sn'g'R'snDmpDpmgmgmpDn's'R'snDpmgpmgRgR's'R'g'm'g'R'snpDmpmgmgmpDn's'R'snDpmgRpmggRgmpDn's'R'snDpmgRpmggRsRgmppDpDmpDpmgRgmpDns.nsRgmppDpDmpDpmgRgmpDns.nmgmgm'snDps.nsRgmppDpDmpDppmDpmgmmDpDn's'R's'snDpmpmpDpDpmgmnpDDn'sn'g'R'snDpmpmpDpDpmgmnpDDn's'R'sDppmDpmgmnpDDn's'R's'sn's'R'snDpDDnDppmDpmgm'sn'g'R's's'R'g'R'snDppDnDmpmgRgmpDnpDpDmpDpmgmmmgpmgmgRgmgRssRsRgmgmDpDmpgmpDnDn'snDpmgmppDpmpgmpD'snDpDn'sn'g'R'snDpDpDn'snD'sn'R's'R'm'g'R'sDpDn'sn'g'R'snDpmgRgmpDn
AdinayE kaNNA - mohana kalyANi - Adi - ambujam krishna	mohana kalyani	sndpMgrsrgdsrgpd'r'sndpMgrrssrgdsrssrgpdr'g'r'sndpMgrs.n.dsrgdpMgrs.ngpd'sndpMgrsrgg.dsrggppgpdpdg'r'r's's.dsrggppgpdpdg'r's'r's'sd's'r's's'rgpgpdpgpd'g'r'sndpMgdpMgrsssrgpd'snd's's'sndpMgrgrs.dsrgpd'snd's's'g'r'sndpg'sndpMgrg'g'r'sndpg'sndpMgrsrpMgrsgrs.n.dsrrgggrgsrgrgppgpdpndpMgrMgrgrgddppdpMgdp'sndgpd's'sndpMggdppMgrMgrsddpMrppgrsss.n.dsrgpd'r's's'g'g'r'sndpg'snd'rrpgrss.n.dsrgsrgrgdpdpMgrs.n.dsrgpd'r'sgpd's's's's'g'r'sndpgpd'g'r's'sndpMdpMgr
alaipAyudhE - kAnada - Adi - OothukaduVenkataSubbaiyer	kanada	.NsrpGGGmrrGmrs.NsrpGmGmrrGmrs.NsrpmpdNdpmGmdN'sNpmGGmrs.Ns.N.d.Nsp's's'sNppmdpmGmrs.Nrs.N.d.Ns'sN'r's'rN'sNpNpmGmrs.N.ds.Nrs's'r'G'm'r'sN'sNpNpmGmrsGmdN's's's's's's'sN'r'sNdGmdNdN's'r's'r'G'r's's'G'm'r's'sN'r'sNpdN's's's'sN'r'sNpppmdNppmpddpmGmrsdNppppmpmppmpdNdpmGdNppppmdN'sNpmpdNdpmGGGGGmrrs.NsrrrsrppmGGmdN's's's's's's's'sN'r's'sNNdGmdNdN's'r's'r'G'r's's'G'm'r's'sN'r's'sNdddmddmdN'sNpmpdNdpmGssspppmmmdddmdN'sNpmdN's's'r'G'G'm'r'r'sN'r'sNppmdN'sNpmpNdpmGssssppppmmmmddddmdN's'sNpmmdN'sN's'r's'r'r'r'r'r's'r'p'G'G'G'm'r'r's's'sN'r'sNGmdN'sdN's'r'r's'r's'r'r'r's'r'p'p'm'G'G'm'r'r's's's'sN'r'sNpppmdN'sNpppmddpmGmrs
Alankaras	mayamalavagowla	sRgRssRgRgmsRgmgRsRgRsRgmsRgmpmgsRgmgsRgmpsRgmpDnDpsRgmpDpsRgmpDnsRgmpDnDpsRgmpDpsRgmpDnsRssRsRgsRgRsRsRgmsRgmgsRsRgmpsRgmpDpmgsRgmpDnsRgmpmgmsRgmpDsRsRgsRsRgmsRsRgmpsRsRgsRgmsRsRgmpRgmpsRgmpsRgRgmsRgsRgmsRgsRsRgmsRgmsRgmpsRgsRgmsRgRsRgmsRgmpRgmpsRgmpmgRgmpsRgmpmgRsRgmpsRgsRgmmsRgmsRgmppsRgsRgmmsRgmsRgmppsRgmpDsRgmpDnnsRgsRgmsRgmpsRgmpDsRgmsRgmsRgsRgmsRsRgsRgsRgmsRsRsRgm
amba vANi nannu - keeravANi - Adi - Muthaiah Bhagavathar	keeravani	pDpmpmGrrGmmppDpmpmGGrsrGmmpDn's'r'G'r'snDpmGpmDpmGGrsrGmmppD'snDpDn's'snDpmpD'snDpDn'sDn'spDn's'snDpmpD'snDpDn's'sn's'r'G'rpD'r'snDpDn'sn's'r's'r'G'G'G'r'r'r'G'G'r'r's'snDn'G'r'sn'r'snDpmDpmGrsrGmrGsrGmmpDn'snDpmDpmDpmpmGrrGmmppD'snDpDn's'snDpmpD'snDpDn'sDn'spDn's'snDpmpD'snDpDn's'sn's'r'G'rpD'r'snDpDn'sn's'r's'r'G'G'G'r'r'r'G'G'r'r's'snDn'G'r'sn'r'snDpmDpmGrs
ambikA nAtham - bhoopALa - Adi - muthaiah bhAgavathar	bhoopalam	DpDGGGRssRGRRssRsR.p.D.p.DsGRGpDpDGpDpDDpGRssRsR.p.D.p.DsGRGpDpDGpDpDpD'R's'R'R's'spDDpGGGRsRGpDpDGpD's's's'R'G'R'R's's's'G'R's'R'R's'sDpDpDpDGpDpD'R's'R's'RDpDD'R's'R'G'R'sDpGRGDpDGpRGDDppGRssR.DsRGDpDpGpDD's'R'sD'RD's'RpD's'R'G'R'R'sDDpGGRRs.DsRGpGGRRssRGRRs.D.DssRGGRsRGGGDpDppGGGRs.DsRGsRGDpDGGRsRGp
ambujAkshi pAhimAm - simhavAhini - Adi - SriJayachamarajaWodeyar	simhavahini	pmmggrsgmppDDppmppmmggrsgmppDpDDppmpDnDDpmgrsgmppDpDDppmpDnDDpmgrsgmppDn'snDpmgmppmmggrs.n.D.nsgmpDn's'snDpDmpmDppmmgpmgrs.n.D.nsgmpDn's'snDDDm's's'snDpDpmgmDpD's'snDn's's's'snDpDpmgmDpDD'r'snD'g'r's's'snDpDpmgmDpDD'r'snDn's'sn's'g'g'g'm'g'r's'r'snDp'r'snDpDpmmgm'sn's'g's'g'm'g'm'g'r's'r'snDpDn'snDpmDpmgm.nsgmppDppmmggrsgs.nsgmpDpmmgrsgpmgrsspmgmpDpDn'spmgmgrssspmgmpDn's's'snDDpmgmpDpDnDDn'sn's'g's'snDDpmgmpDpDnDn's's'g'm'g's'g'g'm'p'm'm'g'g'r's's's'snDpmpmgrsgmpDn's's'g'g'g'm'g'r's's's'snDpm
amma AnandhadhAyini - GambhIraNattai - Varnam - Adhi - Dr_ M Balamuralikrishna	gambheera nata	.nsggmgmpnppmgssggsmmm'snpmgsgmpgmpnppn'spn's'g'g'm'g'snp'snpm'snpmgs.n.nsgmgmpmpn's's'snpnnnpmpppmgmmmg's's'snpnnpmppmgmmgs'sn'snpmpmgmgssgsgsgsgmppnpnpnp'snpmgssgmpn's'g'snpmgsmgspmgnmpn's'm'g's'm'g'snpmgpmgspmgnpmgnpm'm'g'sn'm'g'spmgssgs.nsgmpn's'g'snpmnpmgpmgsgsgs.nsgmpn's.nsgmpn's.nsgmpn's'g'sn's'g'm'g'm'g'm'g'm'g'm'm'g'snpmg'm'g'snpmg'g'snpmg'snpmgsg'snpmgsgsg'snpmg
